"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.610043384E0,7.615534663E-1,-6.414804459E0,9.847152233E-2,6.460601873E0
4.621251456E0,6.620190740E-1,-6.089384079E0,-1.127098203E-1,6.126301594E0
4.630662498E0,6.237189770E-1,-5.572037697E0,-2.540279031E-1,5.612589388E0
4.640542654E0,5.281086564E-1,-5.112158298E0,-1.466349959E-1,5.141455343E0
4.650239738E0,4.534647465E-1,-4.567100048E0,1.352641582E-1,4.591549795E0
4.660273436E0,3.228863478E-1,-3.833014488E0,3.436475396E-1,3.861910057E0
4.671213956E0,2.468590140E-1,-3.363722324E0,3.431758285E-1,3.390182428E0
4.680372602E0,2.517669797E-1,-2.849652290E0,1.627894640E-1,2.865380463E0
4.690507498E0,2.611521482E-1,-2.332520962E0,1.628176570E-1,2.352735444E0
4.700201508E0,3.082093000E-1,-1.796216965E0,-5.630248785E-2,1.823337140E0
4.710547238E0,2.556143701E-1,-1.249303818E0,-3.652234077E-1,1.326456510E0
4.720684686E0,3.455775678E-1,-4.804010391E-1,-4.405448437E-1,7.377592921E-1
4.730482342E0,6.087731719E-1,3.046913147E-1,-1.997007132E-1,7.094518637E-1
4.740269581E0,8.026558757E-1,1.012868881E0,1.979589462E-2,1.292498241E0
4.750069321E0,6.883084774E-1,1.575869560E0,-5.594587326E-2,1.720541593E0
4.760546508E0,9.661589861E-1,2.044953346E0,-2.751399279E-1,2.278376473E0
4.770756925E0,1.098642468E0,2.590679169E0,-3.977623582E-1,2.841979719E0
4.780140467E0,1.078226805E0,3.050185204E0,-6.859705448E-1,3.307077019E0
4.790434217E0,1.218711019E0,3.548635483E0,-8.999986649E-1,3.858505920E0
4.800113175E0,1.243808150E0,3.999165535E0,-8.657048941E-1,4.276660923E0
4.810043540E0,1.173670769E0,4.554620743E0,-4.152393937E-1,4.721704876E0
4.820811821E0,7.699455023E-1,5.652352333E0,-2.871581316E-1,5.711774047E0
4.830047498E0,8.054454327E-1,5.650724411E0,-3.098625541E-1,5.716243829E0
4.840492967E0,5.306852460E-1,6.119959831E0,-4.821296334E-1,6.161816627E0
4.850314946E0,1.360703558E-1,6.340320587E0,-6.052749753E-1,6.370599508E0
4.860544165E0,-2.813749015E-2,6.653600693E0,-7.355214953E-1,6.694190449E0
4.870917394E0,-2.909332514E-2,6.653798103E0,-7.325508595E-1,6.694065012E0
4.880122290E0,-7.479718924E-1,6.947815895E0,-2.698007822E-1,6.993168104E0
4.890406352E0,-7.411202192E-1,6.947820663E0,-2.720044851E-1,6.992528698E0
4.900540363E0,-9.204185605E-1,6.831294060E0,-2.882046103E-1,6.899044191E0
4.910471352E0,-9.116535187E-1,6.831358910E0,-2.899155617E-1,6.898016216E0
4.921463019E0,-6.942425966E-1,6.198578835E0,-4.376848936E-1,6.252673062E0
4.930356248E0,-3.937949240E-1,5.652809143E0,-4.844186902E-1,5.687177430E0
4.940105571E0,-1.248696521E-1,5.241102219E0,-4.830718637E-1,5.264798507E0
4.950096040E0,-3.770328164E-1,5.243969917E0,-3.506111503E-1,5.269184227E0
4.960205831E0,3.314259648E-2,4.347964287E0,-3.367588520E-1,4.361112059E0
4.970711613E0,2.332131565E-1,3.706521988E0,-5.354484916E-1,3.752252485E0
4.980129060E0,1.693874598E-1,3.133623123E0,-5.467926264E-1,3.185477698E0
4.990494633E0,3.970811367E-1,2.396578789E0,-6.103917360E-1,2.504763740E0
5.000429790E0,4.803835154E-1,1.803234100E0,-6.068550348E-1,1.962318673E0
5.010033696E0,3.467715979E-1,1.237668037E0,-5.065526962E-1,1.381545637E0
5.020739165E0,2.876505852E-1,6.345729828E-1,-3.037195802E-1,7.600469150E-1
5.030038123E0,1.336001754E-1,4.099273682E-2,-2.637578249E-1,2.984922135E-1
5.040155258E0,-5.641669035E-2,-6.192102432E-1,-2.898547053E-1,6.860174331E-1
5.050040415E0,-2.873325944E-1,-1.204530716E0,-2.971552610E-1,1.273481651E0
5.060568592E0,-4.390011430E-1,-1.980225563E0,-1.995934844E-1,2.038100303E0
5.070404946E0,-4.892491102E-1,-2.510147572E0,-1.720902920E-1,2.563166126E0
5.080327967E0,-5.833153129E-1,-3.113465309E0,-1.703001857E-1,3.172211396E0
5.090024269E0,-6.868125200E-1,-3.659335136E0,-1.494168639E-1,3.726227379E0
5.100709998E0,-8.548967838E-1,-4.266978741E0,-1.050381660E-1,4.353043659E0
5.110380623E0,-8.910867572E-1,-4.678841591E0,7.782316208E-2,4.763575410E0
5.121010831E0,-9.943529367E-1,-5.282219410E0,-7.176101208E-3,5.375000572E0
5.130197237E0,-9.712850451E-1,-5.769590378E0,2.327644825E-2,5.850821272E0
5.140915935E0,-1.027113318E0,-6.181420326E0,4.344856739E-2,6.266323228E0
5.150383592E0,-9.396717548E-1,-6.497468948E0,9.220594168E-2,6.565713036E0
5.161138540E0,-8.907308578E-1,-6.660267830E0,3.572154045E-2,6.719661082E0
5.170107133E0,-9.939194918E-1,-6.878628731E0,3.165870905E-2,6.950137513E0
5.180539685E0,-1.009067655E0,-6.960206985E0,2.910166979E-2,7.033032470E0
5.190147185E0,-9.612892270E-1,-7.115712166E0,1.861168742E-1,7.182762428E0
5.200471404E0,-9.606292248E-1,-7.192322254E0,1.868698597E-1,7.258596852E0
5.211768748E0,-8.834336996E-1,-7.019935608E0,2.449896932E-1,7.079545959E0
5.220434685E0,-9.376426935E-1,-6.896950722E0,1.764544249E-1,6.962631632E0
5.230035415E0,-9.118512869E-1,-6.617054939E0,4.341393709E-2,6.679728558E0
5.240075883E0,-7.392866015E-1,-6.272141933E0,-1.079811454E-1,6.316483914E0
5.250588175E0,-7.307686806E-1,-6.084091187E0,-1.724764109E-1,6.130247674E0
5.260510467E0,-5.682864785E-1,-5.758188248E0,-2.751879692E-1,5.792703154E0
5.270033540E0,-4.253199100E-1,-5.384318829E0,-3.487880826E-1,5.412341397E0
5.280814373E0,-3.684734106E-1,-4.829380035E0,-2.419540286E-1,4.849456251E0
5.290310206E0,-2.356277704E-1,-4.254414082E0,-4.838550091E-2,4.261208840E0
5.300456508E0,-1.604256630E-1,-3.775178909E0,-9.407585859E-2,3.779756931E0
5.310987862E0,-1.330513954E-1,-3.295958042E0,-9.196233749E-2,3.299924114E0
5.321289737E0,5.972993374E-2,-2.269905567E0,-3.384170532E-1,2.295771123E0
5.330418383E0,1.181120872E-1,-2.277512074E0,-3.565779924E-1,2.308280653E0
5.340074685E0,3.069329262E-2,-1.664114952E0,-4.484390020E-1,1.723751197E0
5.350031821E0,1.375156045E-1,-9.033908844E-1,-6.397962570E-1,1.115511041E0
5.360442394E0,-1.010495424E-1,8.320236206E-2,-3.782888055E-1,4.002949705E-1
5.370032654E0,-3.560837805E-1,8.682088852E-1,-4.333347082E-2,9.393934835E-1
5.380497862E0,-3.020200729E-1,1.428750992E0,-6.229931116E-2,1.461652053E0
5.390340519E0,-5.827515721E-1,2.529679298E0,6.938487291E-2,2.596861761E0
5.400489789E0,-9.978916645E-1,3.286278725E0,-5.752664804E-2,3.434927211E0
5.410354477E0,-9.873135686E-1,3.286051750E0,-5.906456709E-2,3.431677842E0
5.420182810E0,-1.156376481E0,4.835462570E0,1.174840927E-1,4.973198905E0
5.430425675E0,-1.143756986E0,4.835268974E0,1.128484011E-1,4.969983990E0
5.440027967E0,-1.144740820E0,5.728134155E0,2.160271704E-1,5.845393074E0
5.450311977E0,-1.132277608E0,5.727880478E0,2.092669308E-1,5.842470368E0
5.460128123E0,-7.509430647E-1,6.110938072E0,-2.046462893E-1,6.160305164E0
5.470175362E0,-8.084543347E-1,6.232304573E0,-4.533188343E-1,6.300850472E0
5.480299842E0,-7.564660162E-2,6.468276978E0,-7.136561275E-1,6.507967005E0
5.490173904E0,-7.491651177E-2,6.583664894E0,-1.014437199E0,6.661781950E0
5.500211717E0,6.303359270E-1,6.496698380E0,-9.764314294E-1,6.599835722E0
5.510264269E0,9.552847743E-1,6.248125076E0,-8.772277832E-1,6.381313701E0
5.521060414E0,1.150032759E0,6.091305733E0,-8.563835621E-1,6.257793036E0
5.530283175E0,1.299741387E0,5.938552856E0,-7.776182294E-1,6.128656281E0
5.540080362E0,1.344035268E0,5.766662598E0,-7.659147978E-1,5.970548869E0
5.550534685E0,1.364026666E0,5.581439018E0,-7.609376311E-1,5.795865452E0
5.560360102E0,1.193282485E0,5.366379738E0,-6.825301647E-1,5.539657210E0
5.570610675E0,9.448119998E-1,5.079158783E0,-4.528383017E-1,5.186095466E0
5.580362966E0,7.822850943E-1,4.773314476E0,-3.149732947E-1,4.847237278E0
5.590139946E0,3.855579197E-1,4.409160614E0,-1.066855788E-1,4.427271625E0
5.600161404E0,2.921495736E-1,3.860946655E0,-1.096997261E-1,3.873537721E0
5.610468591E0,-6.262448430E-2,3.334016800E0,6.957191229E-2,3.335330583E0
5.620976456E0,-1.178853512E-1,2.832823753E0,2.642953396E-2,2.835398719E0
5.630546873E0,-2.605203390E-1,2.353948593E0,2.499115467E-2,2.368452952E0
5.640160831E0,-2.273155451E-1,1.857200623E0,7.666438818E-2,1.872630219E0
5.650070206E0,-2.263365388E-1,1.244221687E0,2.181234658E-1,1.283313556E0
5.660411091E0,-1.435629129E-1,6.588058472E-1,2.639722824E-1,7.240972449E-1
5.670332758E0,-2.837377787E-2,-1.552104950E-1,3.397381306E-2,1.613988507E-1
